kode_dapil,nama_dapil
1101,ACEH I
1102,ACEH II
1201,SUMATERA UTARA I
1202,SUMATERA UTARA II
1203,SUMATERA UTARA III
1301,SUMATERA BARAT I
1302,SUMATERA BARAT II
1401,RIAU I
1402,RIAU II
1501,JAMBI
1601,SUMATERA SELATAN I
1602,SUMATERA SELATAN II
1701,BENGKULU
1801,LAMPUNG I
1802,LAMPUNG II
1901,KEPULAUAN BANGKA BELITUNG
2101,KEPULAUAN RIAU
3101,DKI JAKARTA I
3102,DKI JAKARTA II
3103,DKI JAKARTA III
3201,JAWA BARAT I
3202,JAWA BARAT II
3203,JAWA BARAT III
3204,JAWA BARAT IV
3205,JAWA BARAT V
3206,JAWA BARAT VI
3207,JAWA BARAT VII
3208,JAWA BARAT VIII
3209,JAWA BARAT VIX
3210,JAWA BARAT X
3211,JAWA BARAT XI
3301,JAWA TENGAH I
3302,JAWA TENGAH II
3303,JAWA TENGAH III
3304,JAWA TENGAH IV
3305,JAWA TENGAH V
3306,JAWA TENGAH VI
3307,JAWA TENGAH VII
3308,JAWA TENGAH VIII
3309,JAWA TENGAH IX
3310,JAWA TENGAH X
3401,DAERAH ISTIMEWA YOGYAKARTA
3501,JAWA TIMUR I
3502,JAWA TIMUR II
3503,JAWA TIMUR III
3504,JAWA TIMUR IV
3505,JAWA TIMUR V
3506,JAWA TIMUR VI
3507,JAWA TIMUR VII
3508,JAWA TIMUR VIII
3509,JAWA TIMUR IX
3510,JAWA TIMUR X
3511,JAWA TIMUR XI
3601,BANTEN I
3602,BANTEN II
3603,BANTEN III
5101,BALI 
5201,NUSA TENGGARA BARAT I
5202,NUSA TENGGARA BARAT II
5301,NUSA TENGGARA TIMUR I
5302,NUSA TENGGARA TIMUR II
6101,KALIMANTAN BARAT I
6102,KALIMANTAN BARAT II
6201,KALIMANTAN TENGAH
6301,KALIMANTAN SELATAN I
6302,KALIMANTAN SELATAN II
6401,KALIMANTAN TIMUR
6501,KALIMANTAN UTARA
7101,SULAWESI UTARA
7201,SULAWESI TENGAH
7301,SULAWESI SELATAN I
7302,SULAWESI SELATAN II
7303,SULAWESI SELATAN III
7401,SULAWESI TENGGARA
7501,GORONTALO
7601,SULAWESI BARAT
8101,MALUKU
8201,MALUKU UTARA
9101,PAPUA
9201,PAPUA BARAT
9301,PAPUA SELATAN
9401,PAPUA TENGAH
9501,PAPUA PEGUNUNGAN
9601,PAPUA BARAT DAYA
